date,name
9 - 11 January 2015,Malaysia IT Fair
17-Jan,Unit Trust Investment Fair : What & Where to Invest 2015
17 - 18 January,MAPCU Higher Education Fair 2015
23 - 25 January,21st KL Wedding Expo 2015
31 January -2 February ,"Lifestyle Exhibition for Property, Home & Living"
6- 8 February,PC Expo 2015
27 February - 1 March,14th Wedding & Banquet Expo
7 - 8 March?,Education & Further Studies Fair ?C Series 41 (Week 1 : IPTS Group A)
14 - 15 March ,Education & Further Studies Fair ?C Series 41 (Week 2 : IPTS Group B)
20 -22 March?,Modern Home Fair
27 - 29 March?,9th Maternity & Children Expo
3 -5 April,Malaysia Property Expo 2015 (MAPEX 2015)
10 - 12 April,Fit For Life 2015
17 -19 April,Malaysia International Home Renovation Expo 2015 (Part 1)
1-3 May,"Mobile, IT & Electronic Expo 2015 ?C Part 1"
8- 10 May,Indian Wedding Fair 2015
8 -11 May,Pameran Harta Tanah Bumiputera (BPEX)
8- 10 May,Crossroad Auto Show
15 - 17 May ,Mom& Baby Expo 2015
22- 24 May ,2nd Pameran Pengantin KL-PJ Malaysia 2015
22- 24 May ,8th KL-PJ Wedding Fair 2015
3 -7 June,?13th Global Indian Festival 2015
20- 21 June ,NAPEI 34th Malaysian Education Fair 2015
26 - 28 June ,Pet World Malaysia 2015
3 - 5 March 2015 ,GLOBAL FOOD SAFETY CONFERENCE 2015
4 - 7 March 2015 ,EXPORT FURNITURE EXPO (EFE) 2015
13 - 15 March 2015 ,MINISTRY OF TOURISM AND CULTURE MALAYSIA & MALAYSIA FOOTWEAR MANUFACTURERS ASSOCIATION.
14 - 15 March 2015 ,FACON EDUCATION FAIR 2015
14 - 17 March 2015 ,18TH HUMAN GENOME MEETING 2015
19- 21 March 2015 ,AUTOMECHANIKA KUALA LUMPUR 2015
23 March 2015 - 26 March 2015,BEAUTY PROFESSIONAL
18 March 2015 - 21 March 2015,ICYL Program
13 March 2015 - 15 March 2015,Matta Fair 2015
13 March 2015 - 15 March 2015,HEALTHYLIFE 2015 (Malaysia Healthy Life Exhibition)
13 March 2015 - 15 March 2015,nternational One Stop Lifestyle & Sport (Incorporating Consumer) Fair
13 March 2015 - 15 March 2015,Lady Beautiful 2015
03 March 2015 - 07 March 2015,Msian International Furniture Fair 2015
21 -22 March 2015 ,EDUCATION UK 2015 EXHIBITION -
25 - 27 March 2015 ,ASEAN ELENEX 2015 / INDUSTRIAL AUTOMATION 2015
1 - 4 April 2015 ,WORLD HALAL SUMMIT 2015 (WHS 2015)
1 - 4 April 2015 ,THE 12TH MALAYSIA INTERNATIONAL HALAL SHOWCASE (MIHAS) 2015
6 - 8 April 2015 ,18th SE ?C ASIAN HEALTHCARE ?C PHARMA & MEDICAL BEAUTY SHOW,B
7 - 9 April 2015 ,AUTM ASIA 2015
10 - 12 April 2015 ,KL WEDDING EXPO ?C 22ND EDITION 
24 April 2015 - 03 May 2015,Pesta Buku 2015
23 April 2015 - 26 April 2015,Cafe Show Malaysia 2015
09 April 2015 - 12 April 2015,Perfect Livin 2015
10 - 12 April 2015 ,MOTHERHOOD EXPO 2015
11-Apr-15,CPA AUSTRALIA CAREER EXPO 2015
17 -20 April ,24TH MALAYSIA INTERNATIONAL JEWELLRY FESTIVAL
Apr-15,2015 (Spring Edition) partners.
22- 24 April 2015 ,ENVIRONMENT ASIA 2015 I WATER MALAYSIA 2015 I WATER LOSS ASIA 2015
9 - 10 May 2015 ,GRADUAN ASPIRE 2015
16 - 19 May 2015 ,INTERNATIONAL BEAUTY EXPO (IBE) 2015
16 - 19 May 2015 ,OMC ASIA CUP 2015
29 May 2015 - 31 May 2015 ,KL Hijab Fair 2015 (KLIHF 2015)
12 May 2015 - 14 May 2015,7th KL International Gifts, Premium & Stationery Fair (KLIGP 2015)
05 May 2015 - 07 May 2015,International Fire Conference & Exhibition (ICEM 2015)  
24- 26 May 2015 ,IFN ASIA FORUM 2015
2 - 4 June 2015 ,"THE 15TH ASIAN OIL, GAS & PETROCHEMICAL ENGINEERING EXHIBITION (OGA 2015) "
11 - 13 June 2015 ,THE 16th MALAYSIAN INTERNATIONAL FOOD & BEVERAGE TRADE FAIR (MIFB) 2015 
15 - 16 June 2015 ,DIGITAL EDUCATION SHOW ASIA 2015 (DESA 2015) 
15- 17 June 2015 ,APHM INTERNATIONAL HEALTHCARE CONFEENCE AND EXHIBITION 2015
26 - 28  June 2015 ,NANYANG PROPERTIES FAIR 2015
08 - 11 July 2015 ,22nd INTERNATIONAL MEETING ON ADVANCED SPINE TECHNIQUES (IMAST)
6 - 8 Aug 2015 ,28TH ANNUAL MEETING OF ASIA PACIFIC ASSOCIATION OF CATARACT AND REFRACTIVE SURGEONS (APACRS)
2 - 4  Sept 2015 ,RAIL BUSINESS ASIA 2015 
2 - 4  Sept 2015 ,PHARMA + BIO ASIA 2015 
17 - 18 Sept 2015 ,ASIA PACIFIC COATING SHOW (APCS) 2015
3 - 5 Nov 2015 ,WORLD ISLAMIC ECOMONIC CONFERENCE (WIEF) 2016
29 Sept - 2 Oct 2015 ,FOOD & HOTEL MALAYSIA (FHM 2015) 
06 - 09 November 2015 ,25th MALAYSIA INTERNATIONAL JEWELLERY FESTIVAL 2015 (AUTUMN EDITION) .
27 - 29 Nov 2015 ,STAR PROPERTY FAIR 2015 
19 - 20 Dec 2015 ,FACON EDUCATION FAIR 2015 
